Type,Name,URL,CRC,Size
DIRECTORY,Fujitsu FM Towns - CD - Games,,,
FILE,Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Fujitsu/FM Towns/CD/Games/Fujitsu FM Towns - CD - Games/Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat,180393343,3083
DIRECTORY,Compilations,,,
DIRECTORY,Fujitsu FM Towns - CD - Compilations,,,
FILE,Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Fujitsu/FM Towns/CD/Compilations/Fujitsu FM Towns - CD - Compilations/Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat,799366961,2721
DIRECTORY,IBM,,,
DIRECTORY,PC Compatibles,,,
DIRECTORY,CD,,,
DIRECTORY,Educational,,,
DIRECTORY,IBM PC Compatibles - CD - Educational,,,
FILE,IBM PC Compatibles - CD - Educational (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Educational/IBM PC Compatibles - CD - Educational/IBM PC Compatibles - CD - Educational (TOSEC-v2012-07-13_CM).dat,3226872513,8075
DIRECTORY,Operating Systems,,,
DIRECTORY,IBM PC Compatibles - CD - Operating Systems,,,
FILE,IBM PC Compatibles - CD - Operating Systems (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Operating Systems/IBM PC Compatibles - CD - Operating Systems/IBM PC Compatibles - CD - Operating Systems (TOSEC-v2012-07-13_CM).dat,1135210473,5996
DIRECTORY,Samplers,,,
DIRECTORY,IBM PC Compatibles - CD - Samplers,,,
FILE,IBM PC Compatibles - CD - Samplers (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Samplers/IBM PC Compatibles - CD - Samplers/IBM PC Compatibles - CD - Samplers (TOSEC-v2012-07-13_CM).dat,3553538035,3358
DIRECTORY,Applications,,,
DIRECTORY,[BIN-CUE],,,
DIRECTORY,IBM PC Compatibles - CD - Applications - [BIN-CUE],,,
FILE,IBM PC Compatibles - CD - Applications - [BIN-CUE] (TOSEC-v2022-06-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Applications/[BIN-CUE]/IBM PC Compatibles - CD - Applications - [BIN-CUE]/IBM PC Compatibles - CD - Applications - [BIN-CUE] (TOSEC-v2022-06-08_CM).dat,4062995491,1064
DIRECTORY,[ISO],,,
DIRECTORY,IBM PC Compatibles - CD - Applications - [ISO],,,
FILE,IBM PC Compatibles - CD - Applications - [ISO] (TOSEC-v2022-06-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Applications/[ISO]/IBM PC Compatibles - CD - Applications - [ISO]/IBM PC Compatibles - CD - Applications - [ISO] (TOSEC-v2022-06-08_CM).dat,2799887073,7321
DIRECTORY,Coverdiscs,,,
DIRECTORY,IBM PC Compatibles - CD - Coverdiscs,,,
FILE,IBM PC Compatibles - CD - Coverdiscs (TOSEC-v2012-07-13_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Coverdiscs/IBM PC Compatibles - CD - Coverdiscs/IBM PC Compatibles - CD - Coverdiscs (TOSEC-v2012-07-13_CM).dat,2394418507,24383
DIRECTORY,Games,,,
DIRECTORY,IBM PC Compatibles - CD - Games,,,
FILE,IBM PC Compatibles - CD - Games (TOSEC-v2022-06-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/IBM/PC Compatibles/CD/Games/IBM PC Compatibles - CD - Games/IBM PC Compatibles - CD - Games (TOSEC-v2022-06-08_CM).dat,3797718395,355135
DIRECTORY,Multimedia,,,
DIRECTORY,IBM PC Compatibles - CD - Multimedia,,,
