Type,Name,URL,CRC,Size
FILE,Luxor ABC 80 - Demos - [DSK] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Demos/[DSK]/Luxor ABC 80 - Demos - [DSK]/Luxor ABC 80 - Demos - [DSK] (TOSEC-v2018-03-08_CM).dat,1718502376,1121
DIRECTORY,Applications,,,
DIRECTORY,[BAS],,,
DIRECTORY,Luxor ABC 80 - Applications - [BAS],,,
FILE,Luxor ABC 80 - Applications - [BAS] (TOSEC-v2011-02-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Applications/[BAS]/Luxor ABC 80 - Applications - [BAS]/Luxor ABC 80 - Applications - [BAS] (TOSEC-v2011-02-22_CM).dat,2438341772,886
DIRECTORY,[IMD],,,
DIRECTORY,Luxor ABC 80 - Applications - [IMD],,,
FILE,Luxor ABC 80 - Applications - [IMD] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Applications/[IMD]/Luxor ABC 80 - Applications - [IMD]/Luxor ABC 80 - Applications - [IMD] (TOSEC-v2018-03-08_CM).dat,524835262,1040
DIRECTORY,[ASM],,,
DIRECTORY,Luxor ABC 80 - Applications - [ASM],,,
FILE,Luxor ABC 80 - Applications - [ASM] (TOSEC-v2011-02-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Applications/[ASM]/Luxor ABC 80 - Applications - [ASM]/Luxor ABC 80 - Applications - [ASM] (TOSEC-v2011-02-22_CM).dat,2097734222,1167
DIRECTORY,Games,,,
DIRECTORY,[BAC],,,
DIRECTORY,Luxor ABC 80 - Games - [BAC],,,
FILE,Luxor ABC 80 - Games - [BAC] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Games/[BAC]/Luxor ABC 80 - Games - [BAC]/Luxor ABC 80 - Games - [BAC] (TOSEC-v2021-07-25_CM).dat,937042424,1523
DIRECTORY,[BAS],,,
DIRECTORY,Luxor ABC 80 - Games - [BAS],,,
FILE,Luxor ABC 80 - Games - [BAS] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Games/[BAS]/Luxor ABC 80 - Games - [BAS]/Luxor ABC 80 - Games - [BAS] (TOSEC-v2021-07-25_CM).dat,1632886028,905
DIRECTORY,[IHX],,,
DIRECTORY,Luxor ABC 80 - Games - [IHX],,,
FILE,Luxor ABC 80 - Games - [IHX] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Games/[IHX]/Luxor ABC 80 - Games - [IHX]/Luxor ABC 80 - Games - [IHX] (TOSEC-v2021-07-25_CM).dat,670621526,7995
DIRECTORY,[DSK],,,
